"FIPS","Year","Pop"
"01121",1973,66631
"01121",1974,68183
"01121",1975,68955
"01121",1976,70266
"01121",1977,71746
"01121",1978,72536
"01121",1979,73498
"01121",1980,73924
"01121",1981,74335
"01123",1969,33812
"01123",1970,33812
"01123",1971,33754
"01123",1972,34876
"01123",1973,35743
"01123",1974,36521
"01123",1975,36984
"01123",1976,37678
"01123",1977,37003
"01123",1978,38678
"01123",1979,39165
"01123",1980,38768
"01123",1981,38737
"01125",1969,116734
"01125",1970,116734
"01125",1971,119583
"01125",1972,122149
"01125",1973,123751
"01125",1974,126182
"01125",1975,127101
"01125",1976,129274
"01125",1977,130990
"01125",1978,134250
"01125",1979,135579
"01125",1980,137814
"01125",1981,138741
"01127",1969,56735
"01127",1970,56735
"01127",1971,58714
"01127",1972,61764
"01127",1973,62849
"01127",1974,64097
"01127",1975,65786
"01127",1976,66712
"01127",1977,67997
"01127",1978,68912
"01127",1979,69084
"01127",1980,68647
"01127",1981,68254
"01129",1969,16277
"01129",1970,16277
"01129",1971,16448
"01129",1972,16381
"01129",1973,16354
"01129",1974,16535
"01129",1975,16889
"01129",1976,16616
"01129",1977,16672
"01129",1978,17113
"01129",1979,16801
"01129",1980,16963
"01129",1981,17579
"01131",1969,16283
"01131",1970,16283
"01131",1971,16239
"01131",1972,15775
"01131",1973,15186
"01131",1974,14513
"01131",1975,14754
"01131",1976,14765
"01131",1977,14602
"01131",1978,14504
"01131",1979,14440
"01131",1980,14762
"01131",1981,14872
"01133",1969,16868
"01133",1970,16868
"01133",1971,17727
"01133",1972,19079
"01133",1973,19962
"01133",1974,20122
"01133",1975,20429
"01133",1976,20981
"01133",1977,21538
"01133",1978,21701
"01133",1979,22223
"01133",1980,21981
"01133",1981,21976
"02010",1969,8179
"02010",1970,8179
"02010",1971,8014
"02010",1972,7838
"02010",1973,7730
"02010",1974,8468
"02010",1975,8519
"02010",1976,8596
"02010",1977,8455
"02010",1978,8062
"02010",1979,7822
"02013",1980,1609
"02013",1981,1490
"02016",1980,6182
"02016",1981,6489
"02020",1969,128026
"02020",1970,128026
"02020",1971,134610
"02020",1972,143195
"02020",1973,147309
"02020",1974,152374
"02020",1975,165027
"02020",1976,174486
"02020",1977,176990
"02020",1978,179630
"02020",1979,178811
"02020",1980,175737
"02020",1981,180974
"02030",1969,505
"02030",1970,505
"02030",1971,522
"02030",1972,457
"02030",1973,428
"02030",1974,533
"02030",1975,653
"02030",1976,612
"02030",1977,588
